GT,Model_1_0,Model_2_1
1,0.21339408379010785,0.9999876403811989
0,0.9961613774964594,0.0033913398197382427
0,1.0,0.000896360412740542
0,0.9991417656357701,0.00027507414719848554
0,0.8497757301748029,0.003275505301821731
0,0.9991417656357701,0.00027605540971885415
1,0.0015788830053065344,0.999132809948192
0,0.8745505049495778,0.0001766345360806615
0,0.24585071538839035,0.999975490967839
1,0.019540771911287457,0.9994201018002615
0,0.9760967026010258,2.8400141748500062e-05
1,0.0015788830053065344,0.9958044477090132
1,0.019540771911287457,0.9989690892114261
0,0.5442832521964743,0.7250796768110259
1,0.003473899112943449,0.9781411164673119
0,0.8745505049495778,5.740441187092688e-05
0,0.9459740930585543,6.455042458473286e-05
0,0.8745505049495778,5.5242281693681094e-05
1,0.2848176718990844,0.9958430627938462
0,0.8745505049495778,6.819160633977042e-05
0,0.9991417656357701,0.00042554839717256793
0,0.8745505049495778,0.00011096900446450468
0,0.9961613774964594,0.002675308822693139
0,0.8745505049495778,0.00019651828470309844
1,0.0015788830053065344,0.9987484291999013
0,0.9459740930585543,0.00020416368044593274
1,0.003473899112943449,0.9900733248489549
0,0.8745505049495778,5.6105339676157175e-05
0,0.8745505049495778,0.00010248358718367834
1,0.21339408379010785,0.9999945185551917
1,0.009707549119827658,0.9991972974580074
0,0.9459740930585543,6.37529794422987e-05
0,0.9967105263157895,0.00026426122055410456
0,0.8497757301748029,0.01100347556786595
0,0.9991417656357701,0.0003750326720816869
1,0.0015788830053065344,0.9986375376688392
0,0.9459740930585543,0.00025292118853307194
1,0.009707549119827658,0.9993984451409028
0,0.8740013561302477,0.00026272789161227623
1,0.019540771911287457,0.999885773035769
1,0.0015788830053065344,0.9963382103344495
0,0.8740013561302477,0.018283770365577847
0,0.9760967026010258,2.74997320701115e-05
1,0.21339408379010785,0.958675550254983
0,0.8745505049495778,0.0001925629906037223
0,0.8497757301748029,0.002436031718529433
0,0.9961613774964594,0.000398120639711919
1,0.0015788830053065344,0.9987981407177033
1,0.24585071538839035,0.9999715289126595
0,0.9459740930585543,6.0382327545983736e-05
1,0.003473899112943449,0.9938184575944589
1,0.021374274625324218,0.9934236804489183
1,0.24585071538839035,0.9999888181087068
0,0.9991417656357701,0.0005936408642768986
0,0.8745505049495778,5.643591478299631e-05
0,0.8745505049495778,0.00011275164307216612
0,0.8740013561302477,0.0008204607335924777
1,0.009707549119827658,0.9826062282232961
1,0.009707549119827658,0.9962005601641761
0,0.9760967026010258,3.807500219611086e-05
1,0.003473899112943449,0.9985112502130916
1,0.22822318219481944,0.9788557545397873
0,0.9459740930585543,5.978117695095051e-05
0,0.8404433102808744,0.0823283367914983
1,0.35618169768670255,0.7867272544132258
1,0.21339408379010785,0.9999951137532026
0,0.9961613774964594,0.000782459835797559
0,0.9459740930585543,5.843178697519685e-05
0,0.9991417656357701,4.2572730032559955e-05
0,0.8745505049495778,0.00021956309358765145
1,0.009707549119827658,0.9886781844686574
1,0.24585071538839035,0.9315670858762419
0,0.8745505049495778,0.0002129093528487508
1,0.0015788830053065344,0.9984423646830971
0,0.9760967026010258,2.8986517396726764e-05
1,0.0015788830053065344,0.9968621459090359
1,0.031207497416784014,0.9998523643058471
0,0.8740013561302477,0.0002656151233168726
1,0.21339408379010785,0.94463186664758
1,0.003473899112943449,0.9770242589631363
0,1.0,0.001117364634107697
0,0.9991417656357701,9.829691384734347e-05
0,0.9991417656357701,6.352363293353191e-05
1,0.003473899112943449,0.9974242618030406
1,0.009707549119827658,0.9943757375563689
0,0.8740013561302477,0.0002707899401597852
0,0.8740013561302477,0.00027397741257120036
0,0.9991417656357701,0.0003621365318564909
0,0.9967105263157895,0.0002474624256248838
1,0.21339408379010785,0.9971983927186315
0,0.9459740930585543,0.00022626670867536574
0,0.9991417656357701,7.892043079783169e-05
1,0.0015788830053065344,0.9985401894670137
1,0.019540771911287457,0.9995172568744837
1,0.21339408379010785,0.9649960248360612
0,0.9459740930585543,7.91911519882807e-05
0,0.8745505049495778,0.00011954784294527792
0,0.9961613774964594,0.0031491945959937788
0,0.8745505049495778,0.00011467988646996521
1,0.003473899112943449,0.9935846577661589
0,0.8740013561302477,0.0029764127780863045
0,0.9991417656357701,0.00031640587772641826
1,0.003473899112943449,0.9783188206972889
0,0.8745505049495778,0.00010608838198027553
1,0.021374274625324218,0.9797175564583316
1,0.2848176718990844,0.9995251607571518
1,0.0015788830053065344,0.9990178397762134
0,0.8745505049495778,0.000213122161902164
0,0.9991417656357701,0.00022122010235995954
1,0.24585071538839035,0.9950387313156277
0,0.9760967026010258,2.783794558961544e-05
1,0.003473899112943449,0.9936120618505693
1,0.21339408379010785,0.9881371496248612
0,0.9991417656357701,8.450838580725376e-05
0,0.9991417656357701,5.5150289280973896e-05
0,1.0,0.0002099732247001812
0,0.8740013561302477,0.0002600024286200543
1,0.21339408379010785,0.9889181992275689
1,0.21339408379010785,0.9999224169383637
1,0.003473899112943449,0.9909389663568549
0,0.8745505049495778,9.112252160722795e-05
0,0.8745505049495778,4.9638398340841806e-05
1,0.0015788830053065344,0.9986114072345417
0,0.8745505049495778,0.00023861629955168102
0,0.9961613774964594,0.0032871827697768083
0,0.8745505049495778,6.840074385440769e-05
1,0.003473899112943449,0.9915060562158448
0,0.2848176718990844,0.9998355997191543
0,0.8745505049495778,0.00020705324640364332
1,0.21339408379010785,0.9997791142843503
1,0.003473899112943449,0.9844092678210901
1,0.003473899112943449,0.9940675720209537
0,0.8745505049495778,0.00023153009564799292
1,0.003473899112943449,0.9787979102964618
0,0.8745505049495778,0.00012096679841236982
1,0.07011489160611968,0.9223371445172078
0,0.9760967026010258,2.7936596386074573e-05
1,0.003473899112943449,0.9887939812001186
0,0.9459740930585543,5.6748420683834034e-05
0,0.8745505049495778,0.00011718847572060945
1,0.24585071538839035,0.9636538034434499
1,0.21339408379010785,0.9997412095081704
0,0.9459740930585543,6.019914887200345e-05
